Time,Pressure,Trend Pressure,Detrended Pressure
580.0926084,1826.885843,1828.6359392,-1.7500961999999163
580.3470083,1825.1627,1828.1271394,-2.9644393999999465
580.4266437,1825.683269,1827.9678686,-2.284599599999865
580.5063682,1826.401293,1827.8084196,-1.4071266000000833
580.5632223,1825.298825,1827.6947114,-2.395886399999881
580.6771714,1826.373928,1827.4668132,-1.0928851999999551
580.9314216,1826.794848,1826.9583128,-0.1634647999999288
581.0067697,1827.520671,1826.8076166,0.713054399999919
581.9084969,1827.630705,1825.0041621999999,2.626542800000152
581.9983364,1828.388997,1824.8244832,3.564513799999986
583.7368065,1830.155414,1821.347543,8.807870999999977
585.4087727,1831.100499,1818.0036106,13.096888399999898
585.5796054,1830.295158,1817.6619452,12.63321279999991
585.6565967,1830.917933,1817.5079626,13.40997040000002
585.9780353,1831.770465,1816.8650854,14.90537960000006
586.3301675,1834.783247,1816.160821,18.622426000000132
586.6654236,1836.398761,1815.4903087999999,20.908452200000056
586.9095554,1829.921944,1815.0020451999999,14.919898800000055
586.9997854,1806.529012,1814.8215852,-8.292573200000106
587.0820697,1789.079294,1814.6570166,-25.577722600000016
587.1630398,1829.077092,1814.4950764,14.582015599999977
587.2436089,1848.694683,1814.3339382,34.36074480000002
587.3272512,1862.167638,1814.1666536,48.00098439999988
587.4886241,1876.90977,1813.8439078,63.06586220000008
587.6546927,1842.863041,1813.5117705999999,29.351270400000203
587.884589,1862.690599,1813.051978,49.63862100000006
587.9674341,1878.675106,1812.8862878,65.78881819999992
588.0440091,1884.169067,1812.7331378,71.43592920000015
588.1310221,1885.490667,1812.5591118,72.93155520000005
588.2128158,1892.404712,1812.3955243999999,80.00918760000013
588.3779568,1872.295989,1812.0652424,60.230746599999975
588.4693727,1860.381381,1811.8824106,48.49897039999996
588.5495131,1834.493932,1811.7221298,22.77180220000014
588.6304539,1814.421773,1811.5602482,2.8615248000000975
588.7191843,1853.212563,1811.3827873999999,41.829775600000175
588.796465,1870.885771,1811.228226,59.65754500000003
588.8870119,1875.861707,1811.0471322,64.81457479999995
588.977076,1877.780445,1810.867004,66.91344100000015
589.0553868,1886.767619,1810.7103824,76.0572365999999
589.1457597,1875.238366,1810.5296366,64.70872940000004
589.2243532,1816.508063,1810.3724496,6.135613400000011
589.3929819,1847.999136,1810.0351922,37.963943799999925
589.4683959,1872.576884,1809.8843642,62.69251980000013
589.5568927,1881.968195,1809.7073705999999,72.26082440000005
589.6428651,1887.749066,1809.5354258,78.2136402000001
589.7205925,1892.336702,1809.379971,82.95673099999999
589.7961714,1891.218059,1809.2288131999999,81.98924580000016
589.8780389,1871.884739,1809.0650782,62.819660800000065
589.962275,1821.357611,1808.896606,12.461004999999886
590.0501245,1808.981247,1808.720907,0.260340000000042
590.1332531,1862.367377,1808.5546497999999,53.812727200000154
590.2160602,1888.983513,1808.3890356,80.59447739999996
590.3023033,1905.816689,1808.2165494,97.60013959999992
590.3912996,1911.531164,1808.0385568,103.49260720000007
590.4773095,1915.284216,1807.8665369999999,107.41767900000013
590.5595409,1917.43888,1807.7020742,109.73680579999996
590.6359537,1845.681126,1807.5492486,38.131877399999894
590.7182989,1795.885914,1807.3845582,-11.498644199999944
590.8882638,1906.980918,1807.0446284,99.93628960000001
591.0436636,1928.63218,1806.7338288,121.89835119999998
591.2194786,1853.250242,1806.3821988,46.8680432000001
591.2967087,1855.515309,1806.2277386,49.28757039999982
591.3732943,1869.674259,1806.0745674,63.599691599999915
591.4613651,1842.217223,1805.8984258,36.31879720000006
591.5459993,1858.166955,1805.7291574,52.43779759999984
